Abbott, BP
 Lincoln, AE
 Moussalli, A
 Anderson, DR
 Page, ME
 Oreopoulos, P
 Anderman, LH
 George, CE
 Ko, L
 Cimpian, A
 Hidi, S
 Kersting, N
 Silbey, SS
 Dalgarno, B
 Zo, HJ
 Bianco, M
 Fanson, KV
 Perez, T
 Inzlicht, M
 Rydell, RJ
 Deemer, ED
 Bigler, RS
 White, PH
 Goff, PA
 Schuler, J
 Hulleman, CS
 Martens, MP
 Laursen, SL
 Muthen, BO
 Bauer, DJ
 Horst, SJ
 Lepper, MR
 Muthen, LK
 Fortier, MS
 CONNELL, JP
 Mello, ZR
 Fok, CCT
 Dunbar, D
 Kronberger, N
 Roeser, RW
 Collaer, ML
 Monte, F
 McWhirter, EH
 Kaplan, R
 Knickmeyer, RC
 Nickens, SD
 Vida, MN
 Pedersen, S
 Murphy, LM
 Yip, T
 Webb, RM
 Webb, RM
 Oh, IS
 DeRosier, ME
 Cottone, EA
 Solberg, S
 Vandell, DL
 Izard, CE
 Dona, DP
 Chipuer, HM
 Bronen, R
 McCartney, K
 Kwok, OM
 Son, SH
 Welsh, JA
 Hamm, JV
 Boekaerts, M
 Reid, RJ
 Crede, M
 Measelle, JR
 Connell, JP
 Marcus, JL
 Burchinal, MR
 Burgess, KB
 Stipek, DJ
 Birch, SH
 Kruger, LJ
 FURMAN, W
 Chen, Q
 Anthony, JL
 Antonishak, J
 Luo, W
 Zhang, DA
 Zarrett, NR
 Cortes, Rebecca C
 Hanish, LD
 Greenberg, MT
 Stipek, D
 Hughes, JN
 Dorsey, S
 Cavell, TA
 Barbaranelli, C
 WIGFIELD, A
 TISAK, J
 PIKE, R
 Zhou, Q
 La Paro, KM
 Volpe, RJ
 Johnson, MK
 Lockwood, CM
 Kobak, R
 Snowling, MJ
 AHADI, SA
 ENTWISLE, DR
 FELDLAUFER, H
 ERON, LD
 NEWMAN, RS
 ROBERTS, MD
 Markman, LB
 Castellino, DR
 Bolger, N
 MacKinnon, DP
 Anderman, EM
 KHOURY, EL
 Appelbaum, MI
 Keller, H
 Linver, MR
 Brooks-Gunn, J
 Corwyn, RF
 Reid, MJ
 Pickles, A
 Morris, AS
 Maccoby, EE
 Berlin, LJ
 Cox, A
 Lamberty, G
 WHITESIDE, L
 BROOKSGUNN, J
 FERGUSON, J
 Culp, RE
 Campbell, FA
 Black, MM
 RAMEY, CT
 APFEL, NH
 KLEBANOV, PK
 FRYE, KF
 WESTON, DR
 PHARES, V
 Ritchie, JE
 Rozek, CS
 Maass, A
 Brewer, MB
 Hayes, AF
 Wigfield, A
 Hilton, JL
 ECCLES, JS
 Fredricks, JA
 Uhlmann, EL
 Gaertner, SL
 Ashmore, RD
 Miller, DT
 Stern, HS
 Chajut, E
 Wilder, DA
 Aronson, J
 Wilensky, U
 Chi, MTH
 Reisman, K
 Gibbs, RW
 Kurtz, JE
 Steele, JR
 Webster, GD
 Kilduff, GJ
 Moss-Racusin, CA
 Unzueta, MM
 Adams, RB
 Patel, S
 Oldmeadow, JA
 Borak, DJ
 Todorov, A
 Belin, P
 Hodges, CR
 Pound, N
 Chen, JY
 Mahoney, KT
 Montepare, JM
 Arizaga, JA
 Halpern, DF
 Drury, BJ
 Fryberg, SA
 Stake, JE
 BURTON, AM
 Leslie, SJ
 Mikulincer, M
 Isen, AM
 Wallen, AS
 Akinola, M
 Hansen, CB
 Jansen-Osmann, P
 Bargh, JA
 Stenner, AJ
 Lengua, LJ
 JUFFER, F
 Valenti, SS
 Ashcraft, AM
 Brescoll, VL
 Burt, DM
 Ericsson, KA
 Cheryan, S
 Lench, HC
 Marx, DM
 Markus, HR
 Halim, L
 Siverling, EA
 Smith, JC
 Estrada, Y
 Rupprecht, T
 Wanner, B
 Murray, KA
 Domitrovich, CE
 Repetti, RL
 Koestner, R
 Pahlke, E
 vanDellen, M
 Liu, LD
 Grand, RJJ
 Inoue, S
 Wehmeyer, B
 Hungerford, AL
 Brown, SM
 Sukhbold, T
 Hayashi, K
 Ghosh, S
 Liao, NH
 Colpi, M
 Vilagos, B
 Dotti, M
 Margalit, B
 Gorbaneva, T
 Safi-Harb, S
 Hansen, TT
 van der Horst, A
 Kushnir, D
 Tolstoy, E
 Greggio, L
 Sitnova, TM
 Andrews, JJ
 Stevenson, S
 Farrell, EM
 Palit, I
 Valluri, M
 Halevi, G
 Tanvir, NR
 Tanvir, NR
 Capelo, PR
 Couch, SM
 Wise, JH
 Dolence, JC
 Mazzali, PA
 Villar, VA
 Annis, J
 Gonzalez-Fernandez, C
 Marshall, JL
 Da Costa, GS
 Battino, U
 Naiman, J
 Daigne, F
 Cano, Z
 Duffell, PC
 Kelic, A
 Prantzos, N
 Koch, A
 Hopkins, PF
 Martig, M
 Eriksson, K
 Moller, P
 Magkotsios, G
 Thompson, IB
 Oey, MS
 Guhathakurta, P
 Pethick, CJ
 Barbuy, B
 Lee, YS
 Hartman, H
 Lee, WH
 Pagliara, G
 Darbha, S
 Mezzacappa, A
 Steffen, M
 Recchi, S
 Kroupa, P
 Sauval, AJ
 Kitaura, FS
 Ruffert, M
 Freiburghaus, C
 Scheck, L
 Marek, A
 Mizuta, A
 Decourchelle, A
 Arai, K
 McWilliam, A
 Poghosyan, G
 Arnone, E
 Silk, J
 Nelson, D
 Wang, YZ
 Chertkow, MA
 Schonrich, R
 Bailey, JI
 Olszewski, EW
 Li, TS
 Ryan, SG
 Balbinot, E
 Torrealba, G
 Hachisu, I
 McLaughlin, MA
 Bower, RG
 Geha, M
 Serenelli, A
 Nataf, DM
 Gao, H
 Sobeck, JS
 Fryer, C
 Norman, ML
 Primack, J
 Barklem, PS
 Tosi, M
 Nissen, PE
 Johnson, JA
 Cowan, J
 Sadakane, K
 Reinecke, M
 Zurbuchen, TH
 Villante, FL
 Petermann, I
 Trevisan, P
 Malheiro, M
 Cantelli, E
 Lin, PH
 Maiorca, E
 Plez, B
 Sijacki, D
 Han, Z
 Thomas, PA
 Ruffini, R
 Zhang, X
 Wang, T
 Stancliffe, RJ
 Fujimoto, MY
 Martin, P
 Vink, JS
 Sbordone, L
 Austin, SM
 Meynet, G
 McCarthy, DW
 Chen, X
 Nolta, MR
 Pruet, J
 Zhao, G
 Maeder, A
 Cox, AN
 Descouvemont, P
 Almgren, AS
 Stadermann, FJ
 Ferguson, R
 Fink, M
 Chen, AW
 Ferguson, JW
 Hill, RS
 Houdek, G
 Murphy, MT
 Werner, K
 Trieloff, M
 Mendez, M
 Galloway, DK
 Asida, SM
 Schmidt, W
 Peimbert, A
 Han, ZW
 Truran, JW
 Lattanzio, J
 Weinberg, NN
 Pedemonte, AG
 Richard, O
 Sivarani, T
 Lester, WR
 Walch, S
 Hungerford, A
 Wasserman, I
 Oran, ES
 Shara, MM
 Lamb, DQ
 Steeghs, D
 Kuromizu, R
 Menten, KM
 Hawkins, K
 Kuulkers, E
 Pian, E
 Haugbolle, T
 Krause, MGH
 Bagetakos, Y
 Hachinger, S
 Krause, M
 Schaffner-Bielich, J
 Koning, AJ
 Nishikawa, KI
 Ibanez, JM
 Arnett, WD
 Armitage-Caplan, C
 Cavecchi, Y
 Jorgenson, RA
 Allafort, A
 Xu, Y
 Capogrosso, V
 Srianand, R
 Teoh, A
 Alpizar-Vicente, A
 Segawa, M
 Woodward, P
 Metcalfe, N
 Medvid, S
 Togashi, H
 Bennett, CL
 Potekhin, AY
 Recio-Blanco, A
 Hakobyan, AA
 Wiedenbeck, ME
 Delgado, L
 Yuan, WL
 Ceccarelli, C
 Roederer, IU
 Giridhar, S
 Ellis, JA
 Hernandez, JIG
 Zegers, RGT
 Taillet, R
 Jorissen, A
 Srinivasan, G
 Woodward, CE
 Juric, M
 Williams, JP
 Hueckstaedt, RM
 Hubrig, S
 Taverna, R
 Zelati, FC
 Bouffanais, Y
 Broekgaarden, FS
 Abraham, S
 Fields, CE
 Romanowsky, AJ
 Montanari, E
 Blinnikov, S
 de Mink, SE
 Gerosa, D
 Sweet, SM
 Powell, J
 Heyl, J
 Ng, KKY
 Henault-Brunet, V
 Rodriguez, C
 Bellovary, J
 Carrillo, I
 Marchesi, S
 Carrasco, ER
 Raffai, P
 Zhao, YT
 Veitch, J
 Giersz, M
 Hamers, AS
 Lyne, AG
 Farr, B
 Gallo, E
 Pankow, C
 Gladysz, W
 McKernan, B
 Fabbiano, G
 Rodriguez, CL
 Hypki, A
 Bai, Y
 Barth, AJ
 Lobanov, AP
 Godet, O
 Lacour, S
 Origlia, L
 Girardi, L
 Lyra, W
 Yuan, WM
 Sivakoff, GR
 Walton, DJ
 Maccarone, TJ
 Wiktorowicz, G
 Hau, GKT
 Lin, DC
 Noyola, E
 Zytkow, AN
 Neumayer, N
 Shoemaker, D
 Bergmann, M
 Rees, MJ
 Hamilton, DP
 Rutledge, RE
 Favata, M
 Vigna-Gomez, A
 Lamb, FK
 Anand, S
 Ryan, G
 Zhang, CM
 Gomez, S
 Tang, PN
 Gunther, HM
 Arca-Sedda, M
 Torrejon, JM
 Lavaux, G
 Middleton, H
 Lutovinov, A
 Greenfield, P
 Burkart, J
 Chapman, A
 Cantrell, A
 van de Ven, G
 van den Berg, M
 Barway, S
 Haggard, D
 Cooke, J
 Resmi, L
 Kornilov, VG
 Ruan, JJ
 Howell, DA
 Yang, S
 Feige, J
 Lau, RM
 Bekki, K
 Pescalli, A
 Ellis, JR
 Holtzman, JA
 Schwab, J
 Shaviv, N
 Lopez-Camara, D
 Oda, T
 Jakobsson, P
 Han, JL
 Lesaffre, P
 Poelarends, AJT
 Shetrone, MD
 Amarsi, AM
 Seitenzahl, IR
 Dopita, MA
 Hirschmann, M
 Hernquist, L
 Pan, LB
 Walcher, J
 Minchev, I
 Sales, LV
 Pignata, G
 Modjaz, M
 Widrow, LM
 Dilday, B
 Young, PA
 Doi, M
 van Dokkum, PG
 Lau, HHB
 Thompson, I
 Goodwin, SP
 Bessell, MS
 Brandt, TD
 Trinchant, LM
 Conley, A
 Sousa, SG
 Kewley, L
 Amanullah, R
 Madau, P
 Zemp, M
 Schawinski, K
 Bassett, B
 Korotin, SA
 Diemand, J
 Theuns, T
 Zaldarriaga, M
 Cayrel, R
 Rich, J
 Cappellaro, E
 Tornatore, L
 Lundstrom, I
 Altavilla, G
 Alard, C
 Bruno, CG
 Guseva, NG
 Trippella, O
 Bragaglia, A
 Sawano, T
 Gogus, E
 Wu, XF
 Davis, SW
 Nakauchi, D
 Asano, K
 Wynn, GA
 Baumgartner, WH
 Yamazaki, R
 Page, KL
 Nava, L
 Nakamoto, T
 Alfaro, R
 Vibhute, A
 Macquart, JP
 Hallinan, G
 Kanner, J
 Honscheid, K
 Camp, J
 von Ahlefeld, VW
 Gunst, AW
 Christensen, FE
 Georgieva, A
 Cherry, ML
 Courvoisier, TJL
 Preece, RD
 von Kienlin, A
 Axtens, P
 Bhat, PN
 Argan, A
 Price, PA
 Bartel, N
 Capalbi, M
 Chen, HW
 Gorosabel, J
 Nousek, JA
 Morsony, BJ
 Hoffmann, SL
 Zhang, BB
 Meacher, D
 Branchesi, M
 Guidorzi, C
 Davies, MB
 Greiner, J
 Gehrels, N
 Marshall, FE
 Garnavich, PM
 Pooley, D
 Banday, AJ
 Gammie, CF
 Bandyopadhyay, D
 De Yoreo, M
 Ransom, SM
 Zagkouris, K
 Klimas, A
 Bell, B
 Reula, O
 Teuben, P
 Bucciantini, N
 Miralles, JA
 Salmonson, JD
 Paris, M
 Gourgoulhon, E
 Jones, DI
 Font, JA
 Giommi, P
 Amorim, A
 Salazar-Albornoz, S
 Brown, AGA
 Alexander, P
 Stocke, JT
 Ferdman, RD
 Battat, JBR
 Biskupek, L
 Taylor, JH
 Hayakawa, H
 Jessner, A
 Wolf, P
 Lanyi, G
 Boggs, DH
 Trippe, S
 Blandford, RD
 Price, RH
 Tingay, SJ
 Gough, DO
 Gillessen, S
 Ghez, AM
 Irbah, A
 Murphy, TW
 Levshakov, SA
 Wang, FY
 Croft, RAC
 More, S
 Crandall, S
 Zuntz, J
 Childress, M
 Ashdown, M
 Vernieri, D
 He, SY
 Rizzato, M
 Blazek, J
 Hoekstra, H
 Sehgal, N
 Harrington, N
 Howlett, C
 Alves, MIR
 Foley, RJ
 Anthony, AE
 Nishimichi, T
 Heavens, A
 Regnault, N
 Parkinson, D
 Ahn, CP
 Nichol, R
 Scowcroft, V
 Zahn, O
 Colless, M
 Brinkmann, J
 Kirk, D
 Raccanelli, A
 Aird, KA
 Beutler, F
 Poole, GB
 Granett, BR
 Mainzer, AK
 Cimatti, A
 Joachimi, B
 Ziour, R
 Hewett, PC
 Allam, SS
 Oguri, M
 Dore, O
 Zhao, HS
 Tucci, M
 Hogg, DW
 Jaunsen, AO
 Page, L
 Tonry, J
 Lazic, V
 Crocker, RM
 Foster, A
 Akimoto, F
 Bechtol, K
 Bernitt, S
 Vincent, AC
 Iakubovskyi, D
 Atwood, WB
 Raassen, AJJ
 Bazilevskaya, GA
 Allen, SW
 Branchini, E
 Erben, T
 Giusarma, E
 Frenk, CS
 Lawrence, A
 Raidal, M
 Buote, DA
 Clowe, D
 Bazer-Bachi, AR
 Gonzalez, AH
 Exertier, P
 Kuchynka, P
 Guercilena, F
 Volpe, C
 Neilsen, D
 Li, YF
 Hudepohl, L
 Lasserre, T
 Etienne, ZB
 Zinner, NT
 Pandit, D
 Shuai, P
 Shuai, P
 Brege, W
 Davis, PJ
 Rolfs, CE
 Bonetti, S
 Heusser, G
 Antonelli, M
 MCMILLAN, SLW
 Wu, J
 Yoshida, K
 Valiente-Dobon, JJ
 Hashimoto, T
 Tkachev, I
 Fiorentini, G
 Mukhamedzhanov, AM
 Dmitriev, VF
 Hyun, CH
 Confortola, F
 Kharitonov, A
 Shima, T
 Dietz, A
 Akiyoshi, H
 Haensel, P
 Vittino, A
 Colo, G
 Arenshtam, A
 Arenshtam, A
 Giacoppo, F
 Aglietta, M
 Allard, D
 Sigl, G
 Dedes, I
 Bagchi, S
 Tu, XL
 Wu, XZ
 Buhler, P
 Fukuda, M
 Winckler, N
 Attallah, F
 Landfield, RE
 Pani, P
 Ghonge, S
 Iozzo, DAB
 Young, S
 Yang, H
 Broadhurst, T
 Sandstad, M
 Drago, M
 Sathyaprakash, BS
 Agatsuma, K
 Acernese, F
 Starinets, AO
 Blair, CD
 Lundgren, A
 Dudi, R
 Irwin, BS
 Oslowski, S
 Davis, D
 Urban, AL
 Massinger, TJ
 Thakor, N
 Harry, IW
 Germain, V
 Frolov, VV
 Brady, PR
 Luan, J
 Villain, L
 Wen, LQ
 Ochsner, E
 Gergely, LA
 Fragos, T
 Moschner, K
 Byrne, AP
 Odahara, A
 Amthor, A
 Batchelder, JC
 Lanza, EG
 Andrzejewski, J
 Aggarwal, MM
 Ahn, JK
 Zoric, M
 Stachel, J
 Murray, NW
 Dhillon, VS
 Lambert, S
 Bourgoin, A
 Szilagyi, B
 Maione, F
 Johnson-McDaniel, NK
 Pnigouras, P
 Ottewill, AC
 Cornish, N
 Cadonati, L
 Pappas, G
 Faber, JA
 Dionysopoulou, K
 Harte, AI
 Bentivegna, E
 Stephens, BC
 Brugmann, B
 Mroue, AH
 Hinder, I
 Kellerman, T
 Yamamoto, T
 Yamamoto, T
 Kimura, M
 Chu, T
 Misner, CW
 Smith, JR
 Manca, GM
 Millward, RS
 Montero, PJ
 MIRALLES, JA
 Vega, I
 Bertone, S
 Lebach, DE
 DeBra, DB
 Jacobson, RA
 Mostepanenko, VM
 Worden, P
 Phillips, JD
 Gundlach, JH
 Belov, A
 Tanaka, T
 Borde, CJ
 Smith, TL
 Kawamura, S
 Mikkola, S
 Ozel, F
 Li, Y
 Hayama, K
 Weld, DM
 Wahr, JM
 Qusailah, MSS
 Scherrer, RJ
 Heckel, BR
 Dickey, JO
 TAVELLA, P
 ADELBERGER, EG
 WISEMAN, AG
 Alarcon, A
 Vernizzi, F
 Vagnozzi, S
 Noller, J
 Saridakis, EN
 Frusciante, N
 Penarrubia, J
 Lin, WK
 Trinh, D
 Manera, M
 Perivolaropoulos, L
 Hellwing, WA
 Bose, B
 Lin, CS
 Namba, R
 Miyashita, S
 Capozziello, S
 Yoshida, D
 Rodriguez, Y
 Bacon, D
 Watson, S
 Guarato, P
 Tasinato, G
 Pearson, JA
 Jimenez, R
 Bautista, JE
 Zhang, PJ
 Konnig, F
 Finelli, F
 Skillman, ED
 Clesse, S
 Mizuno, S
 Mortsell, E
 Tagoshi, H
 Pettorino, V
 Luongo, O
 Baugh, C
 Pilo, L
 Busca, N
 Zhao, HJ
 Park, M
 Bartolo, N
 Sievers, J
 Marriage, TA
 Buniy, RV
 Miralda-Escude, J
 Motta, M
 Saffin, PM
 Shahidi, S
 Cardone, V
 Steer, DA
 Tram, T
 Wang, X
 Garriga, J
 Bourliot, F
 Gao, J
 Sasaki, M
 Shankaranarayanan, S
 Thompson, J
 Lima, M
 Starobinsky, A
 Fang, W
 Fu, XY
 Shafieloo, A
 Rodrigues, DC
 Trincherini, E
 Norena, J
 Sorella, SP
 Padmanabhan, N
 Zunckel, C
 Crittenden, RG
 Kunduri, HK
 Doran, M
 SenGupta, S
 Starkman, GD
 Strauss, MA
 Sibiryakov, S
 Tkachev, II
 Steinhardt, PJ
 Trodden, M
 Leach, SM
 Waldram, D
 Kang, ZB
 Ethier, JJ
 Li, RZ
 Zhang, Y
 Shanahan, PE
 Lamm, H
 Agostini, F
 Turzynski, K
 Szczerbiak, P
 Wu, L
 Tait, TMP
 Benbow, W
 Serce, H
 Zavala, J
 Eckert, D
 Kwa, A
 Witte, SJ
 Tsai, YLS
 Ichimura, K
 Andre, M
 Heisig, J
 Caron, S
 Arnquist, IJ
 Pierpaoli, E
 Duan, KK
 Park, J
 March-Russell, J
 Dent, JB
 Genolini, Y
 Georgescu, A
 Huang, XY
 Yin, PF
 Medina, AD
 Balakishiyeva, D
 Weniger, C
 Klasen, M
 Abdallah, J
 Goncalves, D
 Benkhali, FA
 Giesen, G
 Queiroz, FS
 Unwin, J
 Sanford, D
 Tang, Y
 Boehm, C
 Horiuchi, S
 Park, SC
 Gramling, J
 Ringwald, A
 Strigari, L
 Morgante, E
 Pierce, A
 Mikheyev, SP
 Bolton, JS
 Colaresi, J
 Silverwood, H
 Huang, WC
 Feroz, F
 Becherini, Y
 Katz, E
 Kulkarni, S
 Sinha, K
 Peim, G
 Kowalska, K
 Fichet, S
 Pollmann, T
 Beacom, JF
 Ibarra, A
 Li, DW
 Abu-Zayyad, T
 Antonelli, LA
 Sreethawong, W
 Rajagopalan, S
 Riotto, A
 Kraml, S
 Wang, LT
 Schwetz, T
 Vertongen, G
 Mambrini, Y
 Edsjo, J
 Semenov, A
 Do Kim, H
 Castellini, G
 Nagai, M
 Soldatenko, A
 Senami, M
 Rychkov, VS
 Moroi, T
 ROSZKOWSKI, L
 Taylor, N
 Gonzalez, C
 Said, Z
 Wickman, PO
 Jen, FL
 Adolphe, FSG
 Owen, S
 Lieu, SC
 Huang, TC
 Yung, BHW
 Wong, B
 Staver, JR
 Shieh, SH
 Chou, CY
 Lundqvist, E
 Danielsson, AT
 Erduran, S
 Lidar, M
 Iaconangelo, C
 Vinayagam, M
 Creagh, C
 Viiri, J
 Lock, RM
 Guastella, I
 Wittmann, MC
 Rangelov, G
 Phelps, G
 Soliman, SSM
 El-Sherbini, TM
 Foot, CJ
 Seurin, Y
 Richard, S
 Stewart, J
 Francis, B
 Montoya, AK
 Holmes, NG
 Blue, J
 Loptson, C
 Sadler, PM
 Chu, RY
 Hamann, J
 Jerzak, S
 Schroeder, N
 Jackson, DP
 Miller, K
 Watkins, J
 Sherwood, B
 Schunn, C
 Kramer, LH
 Matthews, MD
 Lemons, PP
 Macrander, CA
 Treagust, DF
 Koerndle, H
 Christian, W
 Cai, YH
 Purc-Stephenson, R
 Stage, FK
 Schmidt, HG
 Lux, E
 Penton-Voak, I
 Shackelford, TK
 Moller, AC
 Furnham, A
 Knapp, LA
 Carvalho, M
 Flegr, J
 Cousins, AJ
 Stern, K
 Lyle, KB
 Esteves, F
 Moreno-Barriusop, E
 Hop, WCJ
 PRYER, JB
 BERSCHEID, E
 Palermo, R
 Trivers, R
 Peters, M
 Donnelly, M
 Jansen, G
 Winkielman, P
 Moller, AP
 Critchley, H
 Ariely, D
 Clark, A
 Rubenstein, AJ
 Castles, DL
 Langlois, JH
 Valentin, D
 ROBERTS, T
 Goertzen, RM
 Geary, David C
 Carnes, M
 Adams, WK
 Roehrig, GH
 DWYER, JH
 Buettner, HM
 Clark, CJ
 Apfel, N
 Armstrong, N
 Delaval, M
 Robertson, J
 Kim, M
 Stamelos, IG
 Schweigert, SA
 Lamb, J
 Wenderoth, MP
 Peach, JM
 Belanger, AL
 Canetto, SS
 Schimmoeller, PA
 Wandersman, A
 Offerdahl, E
 Hambarchyan, M
 Johnston, AM
 Levy, SR
 Applegate, B
 Hornstra, L
 Gross, JJ
 McCrae, RR
 Hawthorne, L
 Estrada, M
 Miller, BJ
 Iyengar, SS
 HENNESSEY, BA
 Vichayapai, M
 Eccleston, C
 Babcock, T
 Peplau, LA
 Yamamoto, KR
 Armstrong, PI
 Schofield, JW
 Levine, SC
 Cadinu, M
 Greenwald, AG
 Hogan, D
 Espinoza, G
 Hendricks, BL
 Putallaz, M
 Linn, MC
 Gottfried, AW
 Hill, NE
 Schiller, KS
 Johnson, RT
 Frank, K
 Hennig, J
 Turner, JC
 Kaplan, A
 Maltese, AV
 Greenberg, J
 Lehmann, W
 Carson, KA
 Lourenco, SF
 Roach, KA
 Lapan, RT
 Barquissau, M
 Malanchuk, O
 Glahn, D
 STIGLER, JW
 BERENBAUM, SA
 Lima, OK
 Buyse, E
 Thakral, C
 Perry, KE
 Swanson, J
 De Bruyn, EH
 Pianta, R
 Keane, SP
 Booth, CL
 Caspi, A
 Lockwood, C M
 Nokes-Malach, T
 Sayre, EC
 Lin, MH
 Takaro, TK
 Lewis, JE
 Espinosa, LL
 Spilt, JL
 Ramos-Wada, A
 Mutz, R
 Drezner, ND
 Garcia, GA
 Topp, S
 Han, J
 Sullivan, N
 Paris, AH
 Beattie, C
 Mensah, FM
 Schwartz, S
 Damtie, B
 Rebello, NS
 Bell, M
 Stromdahl, H
 Niewiadomska-Bugaj, M
 Wolfensohn, S
 Luger, L
 Lin, PL
 Hunsinger, M
 Ludtke, O
 Jordan, CL
 Brand, S
 Chen, HL
 Gedde, NL
 Shen, DM
 Ho, A
 Watson, TL
 CARPENTER, AJ
 McDermott, LC
 Finkelstein, N
 Tamaki, K
 PIKE, CL
 Fukami, T
 Harcourt, AH
 Sackett, PR
 Krulwich, TA
 Nikitaras, N
 Mac Iver, DJ
 Perry, DG
 Pasterski, VL
 Tenenbaum, HR
 Ogilvie, CA
 Liang, JC
 Winters, FI
 Hoshino, RL
 Halliwill, JR
 Barnett, SM
 Hannover, B
 Ni, CQ
 Grodsky, E
 Levine, R
 Trouilloud, D
 Abbott, RD
 MATHESON, CC
 Parchmann, I
 Amin, TG
 Redish, EF
 Alvegard, C
 Parks, John W
 Verriere, M
 Dzhioev, AA
 Hoffman, CR
 Nikas, S
 Stromberg, DF
 Hosseinzadeh, A
 Laming, JM
 Cizewski, JA
 Kereszturi, A
 Kurkela, A
 Horowitz, CJ
 Czeszumska, A
 Ivanov, DA
 Lohs, A
 Ullmann, JL
 Takhistov, V
 Heftrich, T
 Klahn, T
 Agramunt, J
 Ichikawa, T
 Bruenn, SW
 Summa, A
 Amouroux, C
 Thompson, IJ
 Fang, DL
 Xu, ZY
 Bartl, A
 Nakada, H
 Manailescu, C
 Crowter, R
 Eriksen, TK
 Lemaitre, JF
 Ropke, F
 Bertone, PF
 Wapstra, AH
 Adekola, AS
 Fujimoto, SI
 Bengtsson, R
 Sagawa, H
 Deng, YG
 Besselman, M
 Escher, J
 Ring, P
 Scholl, TJ
 Hosmer, PT
 Fallot, M
 Nowacki, F
 Uno, M
 Mezilev, KA
 Wohr, A
 THIELEMANN, FK
 IGNATYUK, AV
 Zhao, PW
 Leistenschneider, E
 Babcock, C
 Li, ZP
 Wen, PW
 Yin, JP
 Bezbakh, AA
 Sedykh, IY
 Huong, LTQ
 Aurand, B
 Niksic, T
 Satula, W
 Roche, KJ
 Ahn, S
 Prosper, HB
 Higdon, D
 Jeong, SC
 Reiter, P
 Carr, H
 Reinhard, PG
 Ray, D
 Toivanen, J
 Ivanyuk, F
 Borzov, IN
 Zenginerler, Z
 Greenlees, PT
 Schuck, P
 Savard, G
 Bertsch, GF
 Johnson, TD
 Chowdhury, U
 Wakasugi, M
 Suzuki, H
 Krticka, M
 More, J
 Nakatsukasa, T
 Gernoth, KA
 Mizuyama, K
 Hirsch, M
 Beard, M
 Cosentino, L
 Johnson, MG
 Maltoni, M
 Kim, A
 Kubono, S
 Smith, K
 Saxena, RK
 Haas, F
 Sala, G
 Noda, T
 Bick, D
 Gando, A
 Ames, F
 Kamimura, M
 Fujimoto, S
 Negreiros, RP
 Fujita, H
 Sugathan, P
 Aguilera, EF
 Goldring, G
 Andersen, TC
 Simpson, EC
 Rusev, G
 Knie, K
 Ferrer, R
 Amsbaugh, JF
 Balata, M
 Daigle, S
 Aguer, P
 Ptuskin, VS
 Hong, SW
 Arndt, O
 Bishop, S
 Mayer, A
 Barnard, V
 Hughes, RO
 Palczewski, M
 Tain, JL
 Fijalkowska, A
 Chatillon, A
 Grzywacz, RK
 Yokoyama, R
 Naqvi, F
 Ghys, L
 Gross, CJ
 McCutchan, EA
 Lee, CS
 Tanihata, I
 Kurtukian-Nieto, T
 Czok, U
 Gottardo, A
 Van Duppen, P
 Farget, F
 Orr, NA
 Sakai, H
 Uribarri, AG
 Pietri, S
 Gaulard, C
 Amthor, M
 Hayakawa, T
 Lopez-Urrutia, JRC
 Froese, M
 Sonnabend, K
 Pinston, JA
 Zhang, CT
 Werner, TR
 Zhou, SG
 Menegazzo, R
 Andreotti, E
 Tamii, A
 Burjan, V
 Fedorov, DV
 Platter, L
 Miele, G
 Peterson, RJ
 Perdue, BA
 Fonseca, M
 Snover, KA
 Rodin, V
 Yan, SQ
 Bruneliere, R
 Yokomakura, H
 Zhang, SQ
 Takahisa, K
 Powell, DC
 Maglione, E
 ROLFS, C
 TSURUTA, K
 LESLIE, JR
 LANGANKE, K
 Berthoumieux, E
 Bond, EJ
 Krasa, A
 Kadi, Y
 Goko, S
 Mengoni, A
 Schumann, D
 Gao, HY
 Kienle, P
 Esch, EI
 Wagemans, J
 Goeminne, G
 Bernstein, L
 Ahmad, I
 Juseviciute, A
 Alvarez-Velarde, F
 Arlandini, C
 Assimakopoulos, PA
 Theis, C
 LINKER, G
 GUBER, K
 OBRIEN, HA
 Rasanen, S
 Wen, DH
 Mochalov, MA
 Li, ZH
 Cuong, DC
 Fiebiger, S
 Lica, R
 Strieder, F
 Bihalowicz, JS
 Martini, M
 Oertel, M
 Pederiva, F
 Kiener, J
 Plag, R
 Khandaker, M
 Rosse, B
 Oblozinsky, P
 Carlson, BV
 Nagai, Y
 Casoli, P
 Sampaio, JM
 Sturm, S
 Authelet, G
 Barzakh, AE
 Kiyokawa, Y
 Kiyokawa, Y
 Claessens, C
 Dicke, T
 Homma, M
 Yuan, CX
 Arenz, M
 Doornenbal, P
 Dissanayake, J
 Ebert, J
 Yang, HB
 Bao, XJ
 Slavkovska, Z
 Jonson, B
 Fomichev, AS
 Dunling, E
 Solders, A
 Orford, R
 Drozdowski, OM
 Eibach, M
 Rudolph, D
 Gulyuz, K
 Glorius, J
 Kondo, Y
 Blell, U
 Kracke, H
 Nishimura, D
 Stohlker, T
 Haettner, E
 Andersson, LL
 Alexander, C
 Raabe, R
 Oinonen, M
 Wild, SM
 Sharma, KS
 Boutin, D
 Winkler, R
 Myers, EG
 Beckert, K
 Aksouh, F
 Sugimoto, T
