Abbott, BP
Granett, BR
Adelman-McCarthy, JK
Hennawi, JF
Hirata, CM
Deffayet, C
Spergel, DN
Copeland, EJ
Angus, GW
Mandelbaum, R
McDonald, P
Astier, P
Vielva, P
Eisenstein, DJ
Cole, S
Cabanac, RA
Chen, CH
Colao, F
Macias, O
Cappelluti, N
Del Popolo, A
Aharonian, FA
Albert, A
Shah, C
Ruchayskiy, O
Daylan, T
Jeltema, T
Ajello, M
Gu, L
Adriani, O
Urban, O
Drlica-Wagner, A
Xia, JQ
Danninger, M
Peter, AHG
Fu, LP
Bulbul, E
de Putter, R
Boylan-Kolchin, M
Lovell, MR
Actis, M
Singal, J
Su, M
Pinzke, A
Wolf, J
Dobler, G
Navarro, JF
Hutsi, G
Atwood, WB
Randall, SW
Tisserand, P
Aharonian, F
Clowe, D
Dauphas, N
Fienga, A
Fienga, A
Papenfort, LJ
Brege, W
Foucart, F
Vlasenko, A
Bovard, L
Frensel, M
Zhu, YL
Lehner, L
Kastaun, W
Knobel, R
Malkus, A
Kiuchi, K
Huang, GQ
Giunti, C
Tamborra, I
Kurcewicz, J
Mention, G
Loens, HP
Liu, YT
Martinez-Pinedo, G
Niu, ZM
Banerjee, K
Dietrich, T
Zhang, R
Rochman, D
Qi, C
Neilsen, D
Read, JS
Lackey, BD
Flanagan, EE
Chamel, N
Del Santo, M
He, JJ
He, JJ
Serenelli, A
Bellini, G
Kaether, F
Amsler, C
Faber, JA
Formicola, A
SHIBATA, M
ZHUGE, X
Jungclaus, A
Sasaki, H
Soderstrom, PA
Watanabe, H
Patel, Z
Browne, F
Taprogge, J
Benzoni, G
Boutoux, G
Pehlivan, Y
Podolyak, Z
Jurado, B
Loreti, FN
Krumbholz, M
Yamazaki, DG
Berezhiani, Z
Broggini, C
Navratil, P
Cheoun, MK
Chakraborty, N
Berengut, JC
Ando, S
Haubold, HJ
Mosconi, M
Lara, JF
Lemut, A
Cruz, J
Serebrov, A
Klapdor-Kleingrothaus, HV
Yamada, K
Malatji, KL
Sun, LN
Shternin, PS
Evoli, C
Niu, YF
Tessler, M
Kheswa, BV
Aab, A
Khan, E
Raffelt, G
Hornung, C
Ozturk, FC
Xing, YM
Zamora, JC
Filianin, P
Dickel, T
Shuai, P
Wang, N
Kienle, P
Frekers, D
Takechi, M
Chen, L
Sun, B
Litvinov, YA
Stadlmann, J
Mezzacappa, A
Ota, I
Bhagwat, S
Chatziioannou, K
Boyle, M
Gerosa, D
Carullo, G
Lower, ME
Byrnes, CT
Berti, E
Healy, J
Ng, KKY
Varma, V
Jimenez-Forteza, X
Bohe, A
Babak, S
Lovelace, G
Carr, B
Mishra, CK
Klimenko, S
Husa, S
Khan, S
Singer, LP
Graff, PB
Cornish, NJ
Aasi, J
Veitch, J
Schmidt, P
Acernese, F
Agathos, M
Hinder, I
Pekowsky, L
Kelly, BJ
Li, TGF
Kamaretsos, I
Pan, Y
Gair, JR
Punturo, M
Lousto, CO
Arun, KG
Hannam, M
Blanchet, L
Blanchet, L
Buonanno, A
Baker, J
Biscans, S
Kumar, B
Davis, D
Roy, S
Nagar, A
Dudi, R
Carney, MF
Zhu, XJ
Nitz, AH
Viets, AD
Cahillane, C
Callister, TA
van Oeveren, ED
Messick, C
Essick, R
Steinhoff, J
Usman, SA
Adams, T
Yagi, K
Effler, A
Privitera, S
Hooper, S
Allen, B
Damour, T
Luan, J
Vines, J
Harry, IW
Mikoczi, B
POISSON, E
CUTLER, C
SATHYAPRAKASH, BS
Willems, B
Morales, AI
Davies, PJ
Dracoulis, GD
Lorusso, G
Mazzocchi, C
Martorana, NS
Massimi, C
Adam, J
Lombardo, I
Sugimura, H
Schurmann, D
Russotto, P
Andronic, A
Feng, ZQ
Hanauske, M
Takami, H
Inoue, S
White, DJ
DAMOUR, T
Le Poncin-Lafitte, C
Hees, A
Kawamura, T
Kahya, EO
Williamson, AR
Was, M
Mirshekari, S
Bailey, QG
Bugner, M
Bernuzzi, S
Maione, F
Endrizzi, A
Haas, R
Sennett, N
Clark, JA
De Pietri, R
Ramazanoglu, FM
Noble, SC
Tacik, N
Doneva, DD
Etienne, ZB
Tsokaros, A
Ponce, M
Takami, K
Dolan, SR
Sampson, L
Bini, D
Muhlberger, CD
Moldenhauer, N
Wade, L
Franci, L
Ossokine, S
Pannarale, F
Tsatsin, P
Galeazzi, F
Dionysopoulou, K
Cardall, CY
Barausse, E
Reisswig, C
Gold, R
Zlochower, Y
Buchman, LT
Maselli, A
Cao, ZJ
Loffler, F
Uryu, K
Weyhausen, A
Thierfelder, M
Baiotti, L
Andersson, N
Alic, D
Kellerman, T
Bona, C
Santamaria, L
Hinderer, T
Corvino, G
Sorkin, E
Yoo, CM
Millmore, ST
Binnington, T
Kramer, M
Scheel, MA
Duez, MD
Arnowitt, R
Yamamoto, T
Farris, BD
Brugmann, B
Pollney, D
Ajith, P
Pfeiffer, HP
Tsokaros, AA
Lindblom, L
Miller, M
MARTI, JM
Anderson, D
Imperi, L
Sanghai, VAA
Yunes, N
Wolf, P
Delva, P
Bartel, N
Everitt, CWF
Modenini, D
Lucchesi, DM
Foffa, S
Shao, LJ
Klimchitskaya, GL
Baker, T
Dossett, JN
Overduin, J
Perez, P
Reasenberg, RD
Wagner, TA
Doser, M
Amaro-Seoane, P
Zuntz, J
Chamberlin, SJ
Hojjati, A
Ali-Haimoud, Y
Sadeghian, L
Pani, P
Horbatsch, MW
Bezerra, VB
Daniel, SF
Nishizawa, A
Mercuri, S
Upadhye, A
Stavridis, A
Bi, XJ
Lasky, PD
Klinkhamer, FR
Taylor, S
Kobayashi, T
Taveras, V
Geraci, AA
Bhat, NDR
Tamaki, T
Eling, C
Moura, F
Ashby, N
Bolton, AS
Goldberger, WD
Wen, LQ
Bambi, C
Clifton, T
Hoyle, CD
Jacobson, T
Olive, KA
Will, CM
BLANCHET, L
GODONE, A
SU, Y
KIDDER, LE
FINN, LS
Caprini, C
Akrami, Y
Kazantzidis, L
Cusin, G
Gomez-Valent, A
Visinelli, L
Lagos, M
Belgacem, E
Dutta, J
Perez-Romero, J
Gumrukcuoglu, AE
Bellini, E
McManus, R
Lin, WK
Kennedy, J
Raveri, M
Yao, J
Renk, J
Peirone, S
Battye, RA
Zumalacarregui, M
Nesseris, S
Bose, B
Brax, P
Hellwing, WA
Jimenez, JB
De Felice, A
Zlosnik, TG
Valogiannis, G
Nakamura, S
Domenech, G
Langlois, D
Bettoni, D
Nersisyan, H
Sakstein, J
Alonso, D
Chamseddine, AH
Emami, R
Misonoh, Y
Salzano, V
Lombriser, L
Kimura, R
Perenon, L
Pogosian, L
Burrage, C
Allys, E
Barreira, A
Bernal, JL
Heisenberg, L
Ben Achour, J
Dirian, Y
Linder, EV
Desai, S
Crisostomi, M
Hull, M
Aubourg, E
Leonard, CD
Xu, XD
Umilta, C
Vardanyan, V
Aver, E
Koyama, K
Saito, R
Mirzagholi, L
Zolnierowski, Y
Enander, J
Wijenayake, T
Narikawa, T
Huterer, D
Gleyzes, J
Koennig, F
Solomon, AR
Amendola, L
Capozziello, S
Maggiore, M
Comelli, D
Font-Ribera, A
Lin, K
Dossett, J
Taruya, A
Yang, RJ
Zhu, T
Bloomfield, J
Khosravi, N
Dunkley, J
Hasselfield, M
Silvestri, A
Okada, H
Gubitosi, G
Park, S
Sawicki, I
Gabadadze, G
Parkinson, D
Fasiello, M
Appleby, SA
Bloomfield, JK
Huang, YQ
Montanari, F
Ferreira, EGM
Trodden, M
Song, YS
Diaferio, A
Blas, D
Elizalde, E
Zhao, GB
Seahra, SS
Acquaviva, V
Wu, FQ
Mortonson, MJ
Wyman, M
de Rham, C
Armendariz-Picon, C
Sultana, J
Ferreira, PG
Ferreira, PG
Agarwal, N
Bean, R
Gao, XD
Gong, JO
Appignani, C
Baldauf, T
Moldenhauer, J
Schmidt, F
Wang, AZ
Dubovsky, S
Charmousis, C
Chan, KC
Khoury, J
Mukohyama, S
Ishak, M
Chow, N
Gong, YG
Wu, PX
Shtanov, Y
Hehl, FW
Banados, M
Nicolis, A
Creminelli, P
Corradini, O
Fang, WJ
Dudal, D
Ho, S
Nojiri, S
Bertschinger, E
Calabrese, E
Bamba, K
Niz, G
Polarski, D
Cognola, G
Hu, W
Dvali, G
Caldwell, R
Cardoso, A
Afshordi, N
Dey, A
Bourliot, F
Tegmark, M
Fairbairn, M
Maartens, R
Diaz-Rivera, LM
Akbar, M
Umezu, K
Navarro, I
Gorbunov, D
Capri, MAL
Calcagni, G
Dubovsky, SL
Easson, DA
Corasaniti, PS
Carroll, SM
Nunez, A
Meng, XH
Vinet, J
Lue, A
Hindawi, A
Keeble, JWT
Cammarota, J
Sato, N
Morfouace, P
Tsang, CY
Albergo, MS
Alexandru, A
Shanahan, PE
Aprile, E
Roszkowski, L
Badziak, M
Han, CC
Karwin, C
Archambault, S
Baer, H
Baer, H
Fornasa, M
Neronov, A
Horiuchi, S
Fang, K
Gelmini, GB
Matsumoto, S
Karam, A
Aaboud, M
Abe, K
Adrian-Martineza, S
Hooper, D
Cuoco, A
Liang, YF
Huang, XY
Khachatryan, V
Bertone, G
Aartsen, MG
Amole, C
Egorov, AE
Li, S
Cholis, I
Savage, C
Kakizaki, M
Garcia, IG
Bell, NF
Giesen, G
Achterberg, A
Del Nobile, E
Hoferichter, M
Zhou, B
Kumar, J
